organism	domain	temperature
Rheinheimera baltica	Bacteria	25.0
Rheinheimera baltica	Bacteria	27.0
Rheinheimera chironomi	Bacteria	37.0
Rheinheimera longhuensis	Bacteria	18.0
Rheinheimera marina	Bacteria	21.0
Rheinheimera mesophila	Bacteria	28.0
Rheinheimera nanhaiensis	Bacteria	29.0
Rheinheimera nanhaiensis	Bacteria	37.0
Rheinheimera pacifica	Bacteria	28.0
Rheinheimera perlucida	Bacteria	20.0
Rheinheimera salexigens	Bacteria	22.0
Rheinheimera salexigens	Bacteria	28.0
Rheinheimera soli	Bacteria	28.0
Rheinheimera sp.	Bacteria	20.0
Rheinheimera sp.	Bacteria	28.0
Rheinheimera sp.	Bacteria	30.0
Rheinheimera tangshanensis	Bacteria	28.0
Rheinheimera texasensis	Bacteria	30.0
Rheinheimera tilapiae	Bacteria	17.0
Rhizobacter dauci	Bacteria	30.0
Rhizobacter fulvus	Bacteria	28.0
Rhizobacter profundi	Bacteria	19.0
Rhizobacter sp.	Bacteria	28.0
Rhizobiaceae not	Bacteria	28.0
Rhizobium acidisoli	Bacteria	28.0
Rhizobium aggregatum	Bacteria	25.0
Rhizobium alamii	Bacteria	30.0
Rhizobium altiplani	Bacteria	24.0
Rhizobium alvei	Bacteria	30.0
Rhizobium arenae	Bacteria	37.0
Rhizobium azooxidifex	Bacteria	28.0
Rhizobium bangladeshense	Bacteria	30.0
Rhizobium binae	Bacteria	30.0
Rhizobium calliandrae	Bacteria	25.0
Rhizobium cellulosilyticum	Bacteria	28.0
Rhizobium daejeonense	Bacteria	28.0
Rhizobium endolithicum	Bacteria	30.0
Rhizobium endophyticum	Bacteria	30.0
Rhizobium etli	Bacteria	30.0
Rhizobium etli	None	30.0
Rhizobium fabae	Bacteria	28.0
Rhizobium favelukesii	Bacteria	28.0
Rhizobium flavum	Bacteria	30.0
Rhizobium freirei	Bacteria	33.0
Rhizobium gei	Bacteria	22.0
Rhizobium grahamii	Bacteria	33.0
Rhizobium hainanense	Bacteria	30.0
Rhizobium halophytocola	Bacteria	28.0
Rhizobium halotolerans	Bacteria	30.0
Rhizobium indigoferae	Bacteria	30.0
Rhizobium ipomoeae	Bacteria	28.0
Rhizobium jaguaris	Bacteria	25.0
Rhizobium laguerreae	Bacteria	30.0
Rhizobium leguminosarum	Bacteria	22.0
Rhizobium leguminosarum	Bacteria	26.0
Rhizobium leguminosarum	Bacteria	28.0
Rhizobium lentis	Bacteria	30.0
Rhizobium leucaenae	Bacteria	28.0
Rhizobium loessense	Bacteria	28.0
Rhizobium lusitanum	Bacteria	30.0
Rhizobium marinum	Bacteria	28.0
Rhizobium mayense	Bacteria	25.0
Rhizobium mesoamericanum	Bacteria	30.0
Rhizobium mesosinicum	Bacteria	28.0
Rhizobium metallidurans	Bacteria	30.0
Rhizobium miluonense	Bacteria	31.0
Rhizobium mongolense	Bacteria	25.0
Rhizobium multihospitium	Bacteria	28.0
Rhizobium oryziradicis	Bacteria	22.0
Rhizobium paknamense	Bacteria	30.0
Rhizobium petrolearium	Bacteria	30.0
Rhizobium phaseoli	Bacteria	26.0
Rhizobium pisi	Bacteria	26.0
Rhizobium puerariae	Bacteria	26.0
Rhizobium rhizogenes	Bacteria	22.0
Rhizobium rhizogenes	Bacteria	25.0
Rhizobium rhizogenes	Bacteria	28.0
Rhizobium rhizogenes	Bacteria	30.0
Rhizobium rhizoryzae	Bacteria	30.0
Rhizobium rosettiformans	Bacteria	28.0
Rhizobium smilacinae	Bacteria	30.0
Rhizobium soli	Bacteria	18.0
Rhizobium sp.	Bacteria	26.0
Rhizobium sp.	Bacteria	28.0
Rhizobium sp.	Bacteria	30.0
Rhizobium sp.	Bacteria	35.0
Rhizobium subbaraonis	Bacteria	25.0
Rhizobium sullae	Bacteria	28.0
Rhizobium taibaishanense	Bacteria	30.0
Rhizobium tarimense	Bacteria	30.0
Rhizobium tibeticum	Bacteria	28.0
Rhizobium tropici	Bacteria	30.0
Rhizobium tubonense	Bacteria	30.0
Rhizobium vallis	Bacteria	30.0
Rhizobium vignae	Bacteria	30.0
Rhizobium viscosum	Bacteria	25.0
Rhizobium viscosum	Bacteria	28.0
Rhizobium viscosum	Bacteria	30.0
Rhizobium wenxiniae	Bacteria	26.0
Rhizobium yanglingense	Bacteria	30.0
Rhizocola hellebori	Bacteria	28.0
Rhizomicrobium electricum	Bacteria	30.0
Rhizomicrobium palustre	Bacteria	28.0
Rhizorhabdus argentea	Bacteria	28.0
Rhizorhabdus dicambivorans	Bacteria	30.0
Rhizorhapis suberifaciens	Bacteria	28.0
Rhodanobacter caeni	Bacteria	28.0
Rhodanobacter denitrificans	Bacteria	28.0
Rhodanobacter denitrificans	Bacteria	30.0
Rhodanobacter fulvus	Bacteria	28.0
Rhodanobacter ginsengisoli	Bacteria	28.0
Rhodanobacter ginsenosidimutans	Bacteria	28.0
Rhodanobacter glycinis	Bacteria	28.0
Rhodanobacter humi	Bacteria	28.0
Rhodanobacter lindaniclasticus	Bacteria	30.0
Rhodanobacter panaciterrae	Bacteria	28.0
Rhodanobacter rhizosphaerae	Bacteria	28.0
Rhodanobacter soli	Bacteria	28.0
Rhodanobacter sp.	Bacteria	28.0
Rhodanobacter spathiphylli	Bacteria	30.0
Rhodanobacter terrae	Bacteria	28.0
Rhodanobacter thiooxydans	Bacteria	28.0
Rhodanobacter umsongensis	Bacteria	28.0
Rhodobaca barguzinensis	Bacteria	28.0
Rhodobaca bogoriensis	Bacteria	35.0
Rhodobacter aestuarii	Bacteria	28.0
Rhodobacter azollae	Bacteria	30.0
Rhodobacter azotoformans	Bacteria	28.0
Rhodobacter blasticus	Bacteria	30.0
Rhodobacter capsulatus	Bacteria	25.0
Rhodobacter johrii	Bacteria	28.0
Rhodobacter lacus	Bacteria	30.0
Rhodobacter maris	Bacteria	30.0
Rhodobacter maritimus	Bacteria	28.0
Rhodobacter megalophilus	Bacteria	28.0
Rhodobacter ovatus	Bacteria	30.0
Rhodobacter sanguinis	None	37.0
Rhodobacter sediminis	Bacteria	29.0
Rhodobacter sp.	Bacteria	10.0
Rhodobacter sp.	Bacteria	20.0
Rhodobacter sp.	Bacteria	25.0
Rhodobacter sp.	Bacteria	28.0
Rhodobacter sp.	Bacteria	30.0
Rhodobacter sphaeroides	Bacteria	25.0
Rhodobacter sphaeroides	Bacteria	30.0
Rhodobacter veldkampii	Bacteria	25.0
Rhodobacter vinaykumarii	Bacteria	28.0
Rhodobacter viridis	Bacteria	30.0
Rhodobium gokarnense	Bacteria	25.0
Rhodobium orientis	Bacteria	28.0
Rhodoblastus acidophilus	Bacteria	25.0
Rhodoblastus sphagnicola	Bacteria	20.0
Rhodocista centenaria	Bacteria	30.0
Rhodocista centenaria	Bacteria	37.0
Rhodocista pekingensis	Bacteria	30.0
Rhodococcus aetherivorans	Bacteria	28.0
Rhodococcus agglutinans	Bacteria	28.0
Rhodococcus antrifimi	Bacteria	28.0
Rhodococcus artemisiae	Bacteria	28.0
Rhodococcus baikonurensis	Bacteria	28.0
Rhodococcus biphenylivorans	Bacteria	28.0
Rhodococcus canchipurensis	Bacteria	28.0
Rhodococcus cerastii	Bacteria	28.0
Rhodococcus cercidiphylli	Bacteria	28.0
Rhodococcus coprophilus	Bacteria	28.0
Rhodococcus coprophilus	Bacteria	30.0
Rhodococcus corynebacterioides	Bacteria	28.0
Rhodococcus corynebacterioides	Bacteria	30.0
Rhodococcus corynebacterioides	Bacteria	37.0
Rhodococcus defluvii	Bacteria	28.0
Rhodococcus erythropolis	Bacteria	25.0
Rhodococcus erythropolis	Bacteria	28.0
Rhodococcus erythropolis	Bacteria	30.0
Rhodococcus erythropolis	Bacteria	33.0
Rhodococcus erythropolis	Bacteria	37.0
Rhodococcus fascians	Bacteria	21.0
Rhodococcus fascians	Bacteria	28.0
Rhodococcus fascians	Bacteria	30.0
Rhodococcus fascians	Bacteria	37.0
Rhodococcus gannanensis	Bacteria	28.0
Rhodococcus globerulus	Bacteria	28.0
Rhodococcus globerulus	Bacteria	30.0
Rhodococcus gordoniae	Bacteria	28.0
Rhodococcus gordoniae	Bacteria	37.0
Rhodococcus hoagii	Bacteria	28.0
Rhodococcus hoagii	Bacteria	30.0
Rhodococcus hoagii	Bacteria	37.0
Rhodococcus humicola	Bacteria	25.0
Rhodococcus imtechensis	Bacteria	28.0
Rhodococcus jostii	Bacteria	28.0
Rhodococcus koreensis	Bacteria	28.0
Rhodococcus kroppenstedtii	Bacteria	30.0
Rhodococcus kyotonensis	Bacteria	28.0
Rhodococcus lactis	Bacteria	28.0
Rhodococcus maanshanensis	Bacteria	28.0
Rhodococcus marinonascens	Bacteria	28.0
Rhodococcus nanhaiensis	Bacteria	28.0
Rhodococcus olei	Bacteria	26.0
Rhodococcus opacus	Bacteria	21.0
Rhodococcus opacus	Bacteria	26.0
Rhodococcus opacus	Bacteria	27.0
Rhodococcus opacus	Bacteria	28.0
Rhodococcus opacus	Bacteria	30.0
Rhodococcus pedocola	Bacteria	25.0
Rhodococcus percolatus	Bacteria	28.0
Rhodococcus phenolicus	Bacteria	28.0
Rhodococcus psychrotolerans	Bacteria	28.0
Rhodococcus pyridinivorans	Bacteria	28.0
Rhodococcus pyridinivorans	Bacteria	30.0
Rhodococcus pyridinivorans	Bacteria	37.0
Rhodococcus qingshengii	Bacteria	28.0
Rhodococcus rhodnii	Bacteria	28.0
Rhodococcus rhodnii	Bacteria	30.0
Rhodococcus rhodochrous	Bacteria	28.0
Rhodococcus rhodochrous	Bacteria	30.0
Rhodococcus ruber	Bacteria	25.0
Rhodococcus ruber	Bacteria	28.0
Rhodococcus ruber	Bacteria	30.0
Rhodococcus soli	Bacteria	28.0
Rhodococcus sovatensis	Bacteria	23.0
Rhodococcus sp.	Bacteria	25.0
Rhodococcus sp.	Bacteria	28.0
Rhodococcus sp.	Bacteria	30.0
Rhodococcus sp.	Bacteria	37.0
Rhodococcus subtropicus	Bacteria	30.0
Rhodococcus triatomae	Bacteria	28.0
Rhodococcus trifolii	Bacteria	28.0
Rhodococcus trifolii	Bacteria	30.0
Rhodococcus tukisamuensis	Bacteria	28.0
Rhodococcus wratislaviensis	Bacteria	28.0
Rhodococcus yunnanensis	Bacteria	25.0
Rhodococcus zopfii	Bacteria	28.0
Rhodocyclus purpureus	Bacteria	25.0
Rhodocyclus tenuis	Bacteria	25.0
Rhodocytophaga aerolata	Bacteria	30.0
Rhodoferax antarcticus	Bacteria	18.0
Rhodoferax fermentans	Bacteria	28.0
Rhodoferax saidenbachensis	Bacteria	20.0
Rhodoglobus aureus	Bacteria	22.0
Rhodoglobus vestalii	Bacteria	18.0
Rhodohalobacter barkolensis	Bacteria	25.0
Rhodohalobacter halophilus	Bacteria	35.0
Rhodoligotrophos appendicifer	Bacteria	30.0
Rhodoluna lacicola	Bacteria	20.0
Rhodomicrobium udaipurense	Bacteria	25.0
Rhodomicrobium vannielii	Bacteria	25.0
Rhodomicrobium vannielii	Bacteria	28.0
Rhodonellum ikkaensis	Bacteria	15.0
Rhodonellum psychrophilum	Bacteria	17.0
Rhodopila globiformis	Bacteria	25.0
Rhodopirellula apulia	Bacteria	28.0
Rhodopirellula baltica	Bacteria	27.0
Rhodopirellula baltica	Bacteria	28.0
Rhodopirellula islandica	Bacteria	28.0
Rhodopirellula lusitana	Bacteria	25.0
Rhodopirellula rosea	Bacteria	28.0
Rhodopirellula rubra	Bacteria	25.0
Rhodopirellula sp.	Bacteria	28.0
Rhodoplanes azumiensis	Bacteria	36.0
Rhodoplanes elegans	Bacteria	26.0
Rhodoplanes piscinae	Bacteria	28.0
Rhodoplanes pokkaliisoli	Bacteria	28.0
Rhodoplanes roseus	Bacteria	35.0
Rhodoplanes serenus	Bacteria	28.0
Rhodoplanes tepidamans	Bacteria	28.0
Rhodoplanes tepidamans	Bacteria	40.0
Rhodoplanes tepidicaeni	Bacteria	35.0
Rhodopseudomonas faecalis	Bacteria	30.0
Rhodopseudomonas harwoodiae	Bacteria	33.0
Rhodopseudomonas julia	Bacteria	25.0
Rhodopseudomonas palustris	Bacteria	25.0
Rhodopseudomonas parapalustris	Bacteria	25.0
Rhodopseudomonas pentothenatexigens	Bacteria	38.0
Rhodopseudomonas pseudopalustris	Bacteria	25.0
Rhodopseudomonas rhenobacensis	Bacteria	28.0
Rhodopseudomonas sp.	Bacteria	25.0
Rhodopseudomonas sp.	Bacteria	28.0
Rhodopseudomonas sp.	Bacteria	30.0
Rhodopseudomonas telluris	Bacteria	33.0
Rhodopseudomonas thermotolerans	Bacteria	43.0
Rhodosalinus sediminis	Bacteria	33.0
Rhodospirillum rubrum	Bacteria	25.0
Rhodothalassium salexigens	Bacteria	30.0
Rhodothermus marinus	Bacteria	65.0
Rhodothermus marinus	Bacteria	70.0
Rhodothermus profundi	Bacteria	70.0
Rhodothermus sp.	Bacteria	70.0
Rhodothermus sp.	Bacteria	75.0
Rhodovarius lipocyclicus	Bacteria	28.0
Rhodovastum atsumiense	Bacteria	28.0
Rhodovibrio salinarum	Bacteria	37.0
Rhodovibrio sodomensis	Bacteria	37.0
Rhodovulum adriaticum	Bacteria	30.0
Rhodovulum aestuarii	Bacteria	30.0
Rhodovulum algae	Bacteria	28.0
Rhodovulum bhavnagarense	Bacteria	37.0
Rhodovulum euryhalinum	Bacteria	30.0
Rhodovulum imhoffii	Bacteria	30.0
Rhodovulum iodosum	Bacteria	25.0
Rhodovulum kholense	Bacteria	30.0
Rhodovulum lacipunicei	Bacteria	30.0
Rhodovulum marinum	Bacteria	28.0
Rhodovulum marinum	Bacteria	30.0
Rhodovulum robiginosum	Bacteria	27.0
Rhodovulum salis	Bacteria	30.0
Rhodovulum steppense	Bacteria	30.0
Rhodovulum strictum	Bacteria	30.0
Rhodovulum sulfidophilum	Bacteria	25.0
Rhodovulum tesquicola	Bacteria	30.0
Rhodovulum visakhapatnamense	Bacteria	25.0
Rickettsia asembonensis	Bacteria	25.0
Rickettsia buchneri	Bacteria	30.0
Rickettsia fournieri	Bacteria	30.0
Rickettsia hoogstraalii	Bacteria	28.0
Rickettsia monacensis	Bacteria	30.0
Rickettsia raoultii	Bacteria	32.0
Rickettsia tamurae	Bacteria	32.0
Riemerella anatipestifer	Bacteria	37.0
Riemerella columbina	Bacteria	37.0
Riemerella columbipharyngis	Bacteria	37.0
Riemerella sp.	Bacteria	37.0
Rikenella microfusus	Bacteria	37.0
Risungbinella massiliensis	Bacteria	37.0
Rivibacter subsaxonicus	Bacteria	25.0
Rivicola pingtungensis	Bacteria	28.0
Robbsia andropogonis	Bacteria	25.0
Robbsia andropogonis	Bacteria	26.0
Robbsia andropogonis	Bacteria	30.0
Robiginitalea biformata	Bacteria	30.0
Robiginitalea myxolifaciens	Bacteria	28.0
Robiginitomaculum antarcticum	Bacteria	20.0
Robinsoniella peoriensis	Bacteria	37.0
Rodentibacter heidelbergensis	Bacteria	37.0
Rodentibacter mrazii	Bacteria	37.0
Rodentibacter myodis	Bacteria	37.0
Rodentibacter pneumotropicus	Bacteria	34.0
Rodentibacter pneumotropicus	Bacteria	37.0
Rodentibacter rarus	Bacteria	37.0
Rodentibacter ratti	Bacteria	37.0
Rodentibacter sp.	Bacteria	37.0
Rodentibacter trehalosifermentans	Bacteria	37.0
Romboutsia hominis	Bacteria	37.0
Romboutsia ilealis	Bacteria	37.0
Romboutsia lituseburensis	Bacteria	37.0
Romboutsia sp.	Bacteria	25.0
Roseateles aquatilis	Bacteria	30.0
Roseateles depolymerans	Bacteria	30.0
Roseateles terrae	Bacteria	24.0
Roseburia faecis	Bacteria	37.0
Roseburia hominis	Bacteria	37.0
Roseburia intestinalis	Bacteria	37.0
Roseburia inulinivorans	Bacteria	37.0
Roseburia sp.	Bacteria	37.0
Roseiarcus fermentans	Bacteria	25.0
Roseibaca ekhonensis	Bacteria	20.0
Roseibacillus ishigakijimensis	Bacteria	29.0
Roseibacillus persicicus	Bacteria	26.0
Roseibacillus ponti	Bacteria	26.0
Roseibacterium elongatum	Bacteria	28.0
Roseibium denhamense	Bacteria	25.0
Roseibium hamelinense	Bacteria	25.0
Roseibium sediminis	Bacteria	28.0
Roseicyclus mahoneyensis	Bacteria	28.0
Roseicyclus marinus	Bacteria	29.0
Roseiflexus castenholzii	Bacteria	49.0
Roseimarinus sediminis	Bacteria	30.0
Roseimaritima ulvae	Bacteria	25.0
Roseimicrobium gellanilyticum	Bacteria	28.0
Roseinatronobacter monicus	Bacteria	25.0
Roseinatronobacter thiooxidans	Bacteria	30.0
Roseisalinus antarcticus	Bacteria	20.0
Roseisolibacter agri	Bacteria	26.0
Roseitalea porphyridii	Bacteria	30.0
Roseivirga echinicomitans	Bacteria	18.0
Roseivirga ehrenbergii	Bacteria	22.0
Roseivirga ehrenbergii	Bacteria	25.0
Roseivirga maritima	Bacteria	18.0
Roseivirga seohaensis	Bacteria	37.0
Roseivirga spongicola	Bacteria	28.0
Roseivivax halodurans	Bacteria	28.0
Roseivivax halotolerans	Bacteria	30.0
Roseivivax isoporae	Bacteria	25.0
Roseivivax lentus	Bacteria	30.0
Roseivivax marinus	Bacteria	30.0
Roseivivax pacificus	Bacteria	30.0
Roseivivax roseus	Bacteria	28.0
Roseivivax sediminis	Bacteria	28.0
Roseivivax sp.	Bacteria	28.0
Rosenbergiella nectarea	Bacteria	28.0
Roseobacter denitrificans	Bacteria	20.0
Roseobacter litoralis	Bacteria	20.0
Roseobacter sp.	Bacteria	28.0
Roseococcus sp.	Bacteria	30.0
Roseococcus suduntuyensis	Bacteria	25.0
Roseococcus thiosulfatophilus	Bacteria	28.0
Roseomonas aceris	Bacteria	28.0
Roseomonas aerilata	Bacteria	30.0
Roseomonas aerofrigidensis	Bacteria	28.0
Roseomonas aerophila	Bacteria	22.0
Roseomonas aestuarii	Bacteria	30.0
Roseomonas alkaliterrae	Bacteria	37.0
Roseomonas aquatica	Bacteria	28.0
Roseomonas arctica	Bacteria	15.0
Roseomonas arcticisoli	Bacteria	24.0
Roseomonas cervicalis	Bacteria	37.0
Roseomonas deserti	Bacteria	28.0
Roseomonas eburnea	Bacteria	25.0
Roseomonas elaeocarpi	Bacteria	25.0
Roseomonas fluminis	Bacteria	28.0
Roseomonas frigidaquae	Bacteria	26.0
Roseomonas gilardii	Bacteria	30.0
Roseomonas gilardii	Bacteria	37.0
Roseomonas globiformis	Bacteria	30.0
Roseomonas hibiscisoli	Bacteria	30.0
Roseomonas lacus	Bacteria	30.0
Roseomonas ludipueritiae	Bacteria	28.0
Roseomonas ludipueritiae	Bacteria	30.0
Roseomonas massiliae	None	30.0
Roseomonas massiliae	None	34.0
Roseomonas mucosa	Bacteria	28.0
Roseomonas mucosa	Bacteria	30.0
Roseomonas mucosa	Bacteria	37.0
Roseomonas nepalensis	Bacteria	24.0
Roseomonas oryzicola	Bacteria	28.0
Roseomonas pecuniae	Bacteria	28.0
Roseomonas pecuniae	Bacteria	30.0
Roseomonas rhizosphaerae	Bacteria	30.0
Roseomonas riguiloci	Bacteria	25.0
Roseomonas rubra	Bacteria	29.0
Roseomonas sp.	Bacteria	28.0
Roseomonas sp.	Bacteria	30.0
Roseomonas sp.	Bacteria	34.0
Roseomonas sp.	Bacteria	37.0
Roseomonas stagni	Bacteria	30.0
Roseomonas suffusca	Bacteria	33.0
Roseomonas terpenica	None	25.0
Roseomonas terrae	Bacteria	23.0
Roseomonas terricola	Bacteria	28.0
Roseomonas vinacea	Bacteria	28.0
Roseomonas wenyumeiae	Bacteria	37.0
Roseospira goensis	Bacteria	28.0
Roseospira marina	Bacteria	30.0
Roseospira navarrensis	Bacteria	30.0
Roseospira visakhapatnamensis	Bacteria	28.0
Roseospirillum parvum	Bacteria	28.0
Roseovarius aestuarii	Bacteria	30.0
Roseovarius aestuariivivens	Bacteria	30.0
Roseovarius albus	Bacteria	25.0
Roseovarius antarcticus	Bacteria	25.0
Roseovarius aquimarinus	Bacteria	30.0
Roseovarius atlanticus	Bacteria	25.0
Roseovarius azorensis	Bacteria	30.0
Roseovarius confluentis	Bacteria	28.0
Roseovarius gaetbuli	Bacteria	30.0
Roseovarius halotolerans	Bacteria	25.0
Roseovarius indicus	Bacteria	30.0
Roseovarius litoreus	Bacteria	30.0
Roseovarius lutimaris	Bacteria	25.0
Roseovarius marisflavi	Bacteria	15.0
Roseovarius marisflavi	Bacteria	30.0
Roseovarius mucosus	Bacteria	29.0
Roseovarius mucosus	Bacteria	30.0
Roseovarius nanhaiticus	Bacteria	30.0
Roseovarius nubinhibens	Bacteria	30.0
Roseovarius pacificus	Bacteria	30.0
Roseovarius pelophilus	Bacteria	20.0
Roseovarius ramblicola	Bacteria	18.0
Roseovarius salinarum	Bacteria	20.0
Roseovarius sp.	Bacteria	20.0
Roseovarius sp.	Bacteria	28.0
Roseovarius tolerans	Bacteria	20.0
Rothia aeria	Bacteria	28.0
Rothia aeria	Bacteria	30.0
Rothia aeria	Bacteria	34.0
Rothia aeria	Bacteria	37.0
Rothia aerolata	Bacteria	30.0
Rothia amarae	Bacteria	28.0
Rothia amarae	Bacteria	37.0
Rothia dentocariosa	Bacteria	37.0
Rothia endophytica	Bacteria	28.0
Rothia endophytica	Bacteria	30.0
Rothia halotolerans	Bacteria	28.0
Rothia koreensis	Bacteria	28.0
Rothia kristinae	Bacteria	28.0
Rothia kristinae	Bacteria	30.0
Rothia kristinae	Bacteria	37.0
Rothia marina	Bacteria	28.0
Rothia mucilaginosa	Bacteria	28.0
Rothia mucilaginosa	Bacteria	30.0
Rothia mucilaginosa	Bacteria	37.0
Rothia nasimurium	Bacteria	37.0
Rothia terrae	Bacteria	28.0
Rothia terrae	Bacteria	37.0
Rouxiella badensis	Bacteria	21.0
Rouxiella chamberiensis	Bacteria	30.0
Ruania albidiflava	Bacteria	28.0
Rubellimicrobium aerolatum	Bacteria	28.0
Rubellimicrobium mesophilum	Bacteria	28.0
Rubellimicrobium roseum	Bacteria	28.0
Rubellimicrobium sp.	Bacteria	48.0
Rubellimicrobium thermophilum	Bacteria	49.0
Rubidibacter lacunae	Bacteria	30.0
Rubinisphaera brasiliensis	Bacteria	30.0
Rubneribacter badeniensis	Bacteria	37.0
Rubricella aquisinus	Bacteria	30.0
Rubrimonas cliftonensis	Bacteria	28.0
Rubrimonas shengliensis	Bacteria	28.0
Rubripirellula obstinata	Bacteria	25.0
Rubritalea marina	Bacteria	30.0
Rubritalea spongiae	Bacteria	21.0
Rubritalea squalenifaciens	Bacteria	28.0
Rubritalea tangerina	Bacteria	26.0
Rubritepida flocculans	Bacteria	50.0
Rubrivirga marina	Bacteria	24.0
Rubrivivax benzoatilyticus	Bacteria	30.0
Rubrivivax gelatinosus	Bacteria	25.0
Rubrivivax gelatinosus	Bacteria	30.0
Rubrobacter aplysinae	Bacteria	25.0
Rubrobacter bracarensis	Bacteria	28.0
Rubrobacter indicoceani	Bacteria	28.0
Rubrobacter radiotolerans	Bacteria	37.0
Rubrobacter spartanus	Bacteria	50.0
Rubrobacter taiwanensis	Bacteria	50.0
Rubrobacter xylanophilus	Bacteria	50.0
Rudaea cellulosilytica	Bacteria	30.0
Rudaeicoccus suwonensis	Bacteria	28.0
Rudaibacter terrae	Bacteria	24.0
Rudanella lutea	Bacteria	28.0
Ruegeria arenilitoris	Bacteria	30.0
Ruegeria atlantica	Bacteria	20.0
Ruegeria conchae	Bacteria	30.0
Ruegeria denitrificans	Bacteria	25.0
Ruegeria faecimaris	Bacteria	30.0
Ruegeria halocynthiae	Bacteria	30.0
Ruegeria intermedia	Bacteria	28.0
Ruegeria intermedia	Bacteria	37.0
Ruegeria lacuscaerulensis	Bacteria	45.0
Ruegeria litorea	Bacteria	30.0
Ruegeria marina	Bacteria	30.0
Ruegeria marisrubri	Bacteria	35.0
Ruegeria mediterranea	Bacteria	30.0
Ruegeria pomeroyi	Bacteria	30.0
Ruegeria profundi	Bacteria	29.0
Ruegeria sp.	Bacteria	25.0
Rufibacter glacialis	Bacteria	20.0
Rufibacter quisquiliarum	Bacteria	25.0
Rufibacter ruber	Bacteria	25.0
Ruficoccus amylovorans	Bacteria	26.0
Rugosibacter aromaticivorans	Bacteria	28.0
Rugosimonospora acidiphila	Bacteria	28.0
Rugosimonospora africana	Bacteria	28.0
Ruminiclostridium cellobioparum	Bacteria	37.0
Ruminiclostridium cellulolyticum	Bacteria	35.0
Ruminiclostridium hungatei	Bacteria	30.0
Ruminiclostridium josui	Bacteria	45.0
Ruminiclostridium papyrosolvens	Bacteria	25.0
Ruminiclostridium sufflavum	Bacteria	30.0
Ruminobacter amylophilus	Bacteria	37.0
Ruminococcus albus	Bacteria	37.0
Ruminococcus champanellensis	Bacteria	37.0
Ruminococcus flavefaciens	Bacteria	37.0
Ruminococcus gauvreauii	Bacteria	37.0
Ruminococcus gnavus	Bacteria	37.0
Ruminococcus sp.	Bacteria	37.0
Rummeliibacillus pycnus	None	30.0
Rummeliibacillus pycnus	None	34.0
Rummeliibacillus stabekisii	None	30.0
Runella defluvii	Bacteria	25.0
Runella limosa	Bacteria	25.0
Runella palustris	Bacteria	25.0
Runella slithyformis	Bacteria	28.0
Runella sp.	Bacteria	28.0
Runella zeae	Bacteria	28.0
Rurimicrobium arvi	Bacteria	29.0
Ruthenibacterium lactatiformans	Bacteria	37.0
Sabulilitoribacter arenilitoris	Bacteria	20.0
Sabulilitoribacter multivorans	Bacteria	30.0
Saccharedens versatilis	Bacteria	35.0
Saccharibacillus deserti	Bacteria	23.0
Saccharibacillus endophyticus	Bacteria	23.0
Saccharibacillus kuerlensis	Bacteria	30.0
Saccharibacillus qingshengii	Bacteria	29.0
Saccharibacillus sacchari	Bacteria	30.0
Saccharibacter floricola	Bacteria	28.0
Saccharicrinis carchari	Bacteria	30.0
Saccharicrinis fermentans	Bacteria	30.0
Saccharococcus thermophilus	Bacteria	65.0
Saccharolobus caldissimus	Archaea	79.0
Saccharolobus shibatae	Archaea	75.0
Saccharolobus solfataricus	Archaea	70.0
Saccharolobus solfataricus	Archaea	75.0
Saccharolobus solfataricus	Archaea	85.0
Saccharomonospora amisosensis	Bacteria	28.0
Saccharomonospora azurea	Bacteria	28.0
Saccharomonospora caesia	Bacteria	28.0
Saccharomonospora caesia	Bacteria	45.0
Saccharomonospora colocasiae	Bacteria	36.0
Saccharomonospora cyanea	Bacteria	28.0
Saccharomonospora glauca	Bacteria	37.0
Saccharomonospora glauca	Bacteria	50.0
Saccharomonospora halophila	Bacteria	28.0
Saccharomonospora iraqiensis	Bacteria	28.0
Saccharomonospora marina	Bacteria	28.0
Saccharomonospora oceani	Bacteria	28.0
Saccharomonospora saliphila	Bacteria	37.0
Saccharomonospora sp.	Bacteria	37.0
Saccharomonospora xiaoerkulensis	Bacteria	34.0
Saccharomonospora xinjiangensis	Bacteria	28.0
Saccharophagus degradans	Bacteria	28.0
Saccharopolyspora aidingensis	Bacteria	35.0
Saccharopolyspora antimicrobica	Bacteria	28.0
Saccharopolyspora cavernae	Bacteria	28.0
Saccharopolyspora cebuensis	Bacteria	28.0
Saccharopolyspora dendranthemae	Bacteria	28.0
Saccharopolyspora deserti	Bacteria	27.0
Saccharopolyspora erythraea	Bacteria	28.0
Saccharopolyspora erythraea	Bacteria	30.0
Saccharopolyspora flava	Bacteria	28.0
Saccharopolyspora gloriosae	Bacteria	28.0
Saccharopolyspora gregorii	Bacteria	25.0
Saccharopolyspora griseoalba	Bacteria	28.0
Saccharopolyspora halophila	Bacteria	37.0
Saccharopolyspora halotolerans	Bacteria	37.0
Saccharopolyspora hattusasensis	Bacteria	28.0
Saccharopolyspora hirsuta	Bacteria	28.0
Saccharopolyspora hirsuta	Bacteria	30.0
Saccharopolyspora hirsuta	Bacteria	34.0
Saccharopolyspora hirsuta	Bacteria	37.0
Saccharopolyspora hordei	Bacteria	28.0
