organism	domain	temperature
Actinomadura namibiensis	Bacteria	28.0
Actinomadura napierensis	Bacteria	28.0
Actinomadura nitritigenes	Bacteria	28.0
Actinomadura oligospora	Bacteria	28.0
Actinomadura pelletieri	Bacteria	28.0
Actinomadura pelletieri	Bacteria	37.0
Actinomadura rayongensis	Bacteria	28.0
Actinomadura rhizosphaerae	Bacteria	28.0
Actinomadura rifamycini	Bacteria	28.0
Actinomadura rudentiformis	Bacteria	28.0
Actinomadura rugatobispora	Bacteria	28.0
Actinomadura rupiterrae	Bacteria	28.0
Actinomadura scrupuli	Bacteria	28.0
Actinomadura sediminis	Bacteria	37.0
Actinomadura sp.	Bacteria	28.0
Actinomadura sp.	Bacteria	30.0
Actinomadura sp.	Bacteria	37.0
Actinomadura sputi	Bacteria	28.0
Actinomadura syzygii	Bacteria	28.0
Actinomadura verrucosospora	Bacteria	28.0
Actinomadura vinacea	Bacteria	28.0
Actinomadura viridilutea	Bacteria	45.0
Actinomadura viridilutea	Bacteria	55.0
Actinomadura viridis	Bacteria	28.0
Actinomadura viridis	Bacteria	30.0
Actinomadura xylanilytica	Bacteria	28.0
Actinomadura yumaensis	Bacteria	37.0
Actinomyces bovis	Bacteria	37.0
Actinomyces bowdenii	Bacteria	37.0
Actinomyces catuli	Bacteria	37.0
Actinomyces dentalis	Bacteria	37.0
Actinomyces denticolens	Bacteria	37.0
Actinomyces gaoshouyii	Bacteria	30.0
Actinomyces gerencseriae	Bacteria	37.0
Actinomyces graevenitzii	Bacteria	37.0
Actinomyces haliotis	Bacteria	37.0
Actinomyces howellii	Bacteria	37.0
Actinomyces israelii	Bacteria	37.0
Actinomyces johnsonii	Bacteria	37.0
Actinomyces lingnae	None	37.0
Actinomyces liubingyangii	Bacteria	37.0
Actinomyces massiliensis	Bacteria	37.0
Actinomyces naeslundii	Bacteria	37.0
Actinomyces odonlyticus	None	37.0
Actinomyces oricola	Bacteria	37.0
Actinomyces oris	Bacteria	37.0
Actinomyces polynesiensis	Bacteria	37.0
Actinomyces radicidentis	Bacteria	37.0
Actinomyces ruminicola	Bacteria	37.0
Actinomyces schaalii	None	37.0
Actinomyces slackii	Bacteria	37.0
Actinomyces sp.	Bacteria	37.0
Actinomyces tangfeifanii	Bacteria	37.0
Actinomyces timonensis	Bacteria	37.0
Actinomyces urogenitalis	Bacteria	37.0
Actinomyces viscosus	Bacteria	37.0
Actinomyces vulturis	Bacteria	30.0
Actinomyces weissii	Bacteria	37.0
Actinomycetales sp.	Bacteria	37.0
Actinomycetospora atypica	Bacteria	28.0
Actinomycetospora callitridis	Bacteria	28.0
Actinomycetospora chiangmaiensis	Bacteria	28.0
Actinomycetospora chibensis	Bacteria	28.0
Actinomycetospora chlora	Bacteria	28.0
Actinomycetospora cinnamomea	Bacteria	28.0
Actinomycetospora corticicola	Bacteria	28.0
Actinomycetospora iriomotensis	Bacteria	28.0
Actinomycetospora lutea	Bacteria	28.0
Actinomycetospora rhizophila	Bacteria	28.0
Actinomycetospora rishiriensis	Bacteria	28.0
Actinomycetospora straminea	Bacteria	28.0
Actinomycetospora succinea	Bacteria	28.0
Actinophytocola algeriensis	Bacteria	30.0
Actinophytocola burenkhanensis	Bacteria	28.0
Actinophytocola corallina	Bacteria	28.0
Actinophytocola gilvus	Bacteria	28.0
Actinophytocola oryzae	Bacteria	28.0
Actinophytocola sediminis	Bacteria	28.0
Actinophytocola sp.	Bacteria	28.0
Actinophytocola timorensis	Bacteria	28.0
Actinophytocola xanthii	Bacteria	26.0
Actinophytocola xinjiangensis	Bacteria	28.0
Actinoplanes abujensis	Bacteria	28.0
Actinoplanes atraurantiacus	Bacteria	28.0
Actinoplanes auranticolor	Bacteria	28.0
Actinoplanes brasiliensis	Bacteria	28.0
Actinoplanes campanulatus	Bacteria	28.0
Actinoplanes capillaceus	Bacteria	28.0
Actinoplanes consettensis	Bacteria	28.0
Actinoplanes couchii	Bacteria	28.0
Actinoplanes cyaneus	Bacteria	28.0
Actinoplanes deccanensis	Bacteria	28.0
Actinoplanes derwentensis	Bacteria	28.0
Actinoplanes deserti	Bacteria	28.0
Actinoplanes digitatis	Bacteria	28.0
Actinoplanes durhamensis	Bacteria	28.0
Actinoplanes ferrugineus	Bacteria	28.0
Actinoplanes friuliensis	Bacteria	28.0
Actinoplanes garbadinensis	Bacteria	28.0
Actinoplanes globisporus	Bacteria	28.0
Actinoplanes gratiae	Bacteria	28.0
Actinoplanes hulinensis	Bacteria	28.0
Actinoplanes humidus	Bacteria	28.0
Actinoplanes ianthinogenes	Bacteria	28.0
Actinoplanes italicus	Bacteria	28.0
Actinoplanes lichenis	Bacteria	27.0
Actinoplanes liguriensis	Bacteria	28.0
Actinoplanes lobatus	Bacteria	28.0
Actinoplanes luteus	Bacteria	28.0
Actinoplanes lutulentus	Bacteria	28.0
Actinoplanes missouriensis	Bacteria	28.0
Actinoplanes nipponensis	Bacteria	28.0
Actinoplanes octamycinicus	Bacteria	28.0
Actinoplanes palleronii	Bacteria	28.0
Actinoplanes philippinensis	Bacteria	28.0
Actinoplanes ramoplaninifer	Bacteria	32.0
Actinoplanes rectilineatus	Bacteria	28.0
Actinoplanes regularis	Bacteria	28.0
Actinoplanes rhizophilus	Bacteria	28.0
Actinoplanes rishiriensis	Bacteria	28.0
Actinoplanes sediminis	Bacteria	28.0
Actinoplanes siamensis	Bacteria	28.0
Actinoplanes sichuanensis	Bacteria	28.0
Actinoplanes sp.	Bacteria	28.0
Actinoplanes subglobosus	Bacteria	37.0
Actinoplanes teichomyceticus	Bacteria	28.0
Actinoplanes tereljensis	Bacteria	28.0
Actinoplanes toevensis	Bacteria	28.0
Actinoplanes utahensis	Bacteria	28.0
Actinoplanes xinjiangensis	Bacteria	28.0
Actinopolymorpha alba	Bacteria	28.0
Actinopolymorpha cephalotaxi	Bacteria	28.0
Actinopolymorpha pittospori	Bacteria	28.0
Actinopolymorpha rutila	Bacteria	28.0
Actinopolymorpha singaporensis	Bacteria	28.0
Actinopolyspora alba	Bacteria	37.0
Actinopolyspora algeriensis	Bacteria	28.0
Actinopolyspora biskrensis	Bacteria	28.0
Actinopolyspora erythraea	Bacteria	28.0
Actinopolyspora halophila	Bacteria	37.0
Actinopolyspora lacussalsi	Bacteria	37.0
Actinopolyspora mortivallis	Bacteria	28.0
Actinopolyspora mortivallis	Bacteria	45.0
Actinopolyspora mzabensis	Bacteria	28.0
Actinopolyspora righensis	Bacteria	28.0
Actinopolyspora saharensis	Bacteria	28.0
Actinopolyspora salina	Bacteria	37.0
Actinopolyspora salinaria	Bacteria	32.0
Actinopolyspora sp.	Bacteria	37.0
Actinopolyspora xinjiangensis	Bacteria	37.0
Actinorectispora indica	Bacteria	22.0
Actinorectispora metalli	Bacteria	28.0
Actinorhabdospora filicis	Bacteria	26.0
Actinorugispora endophytica	Bacteria	28.0
Actinospica acidiphila	Bacteria	28.0
Actinospica durhamensis	Bacteria	28.0
Actinospica robiniae	Bacteria	28.0
Actinosynnema mirum	Bacteria	28.0
Actinosynnema pretiosum	Bacteria	28.0
Actinotalea caeni	Bacteria	33.0
Actinotalea fermentans	Bacteria	28.0
Actinotalea fermentans	Bacteria	30.0
Actinotalea ferrariae	Bacteria	22.0
Actinotalea solisilvae	Bacteria	25.0
Actinotignum sanguinis	Bacteria	37.0
Actinotignum schaalii	Bacteria	37.0
Actinotignum urinale	Bacteria	37.0
